DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Date,Adjusted
,TOTL,Total Kenya,12.65,18,29.75,30,29.75,29.75,-,-,"30,300",,6/27/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.75,29.75,-,-,"26,000",,6/30/2008,-
,TOTL,Total Kenya,12.65,18,29.75,30,29.75,29.75,-,-,"10,000",,7/1/2008,-
,TOTL,Total Kenya,12.65,18,29.75,30.5,30,29.75,0.25,0.83%,"16,200",,7/2/2008,-
,TOTL,Total Kenya,12.65,18,30,30.75,30.25,30,0.25,0.83%,"9,200",,7/3/2008,-
,TOTL,Total Kenya,12.65,18,29.75,30.5,30,30.25,-0.25,0.83%,"19,100",,7/4/2008,-
,TOTL,Total Kenya,12.65,18,30.25,30.5,30.25,30,0.25,0.83%,"4,700",,7/7/2008,-
,TOTL,Total Kenya,12.65,18,30,30.5,30,30.25,-0.25,0.83%,"15,600",,7/8/2008,-
,TOTL,Total Kenya,12.65,18,29.75,30.25,30,30,-,-,"5,700",,7/9/2008,-
,TOTL,Total Kenya,12.65,18,29.75,30,29.75,30,-0.25,0.84%,"25,400",,7/10/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.75,29.75,-,-,"9,900",,7/11/2008,-
,TOTL,Total Kenya,12.65,18,29.75,30,29.75,29.75,-,-,"20,800",,7/14/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.5,29.75,-0.25,0.85%,"40,200",,7/15/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.75,29.5,0.25,0.84%,"20,800",,7/16/2008,-
,TOTL,Total Kenya,12.65,18,29.75,30.5,30.25,29.75,0.5,1.65%,"35,600",,7/17/2008,-
,TOTL,Total Kenya,12.65,18,30.5,33.25,32.5,30.25,2.25,6.92%,"144,400",,7/18/2008,-
,TOTL,Total Kenya,12.65,18,32,33.25,32.75,32.5,0.25,0.76%,"66,000",,7/21/2008,-
,TOTL,Total Kenya,12.65,18,30,33,31.75,32.75,-1,3.15%,"47,500",,7/22/2008,-
,TOTL,Total Kenya,12.65,18,31,32.5,32,31.75,0.25,0.78%,"26,100",,7/23/2008,-
,TOTL,Total Kenya,12.65,18,31.5,32,31.75,32,-0.25,0.79%,"5,600",,7/24/2008,-
,TOTL,Total Kenya,12.65,18,30.5,32,31.75,31.75,-,-,"4,400",,7/25/2008,-
,TOTL,Total Kenya,12.65,18,30.25,32,30.75,31.75,-1,3.25%,"12,100",,7/28/2008,-
,TOTL,Total Kenya,12.65,18,30,31,30,30.75,-0.75,2.50%,"51,400",,7/29/2008,-
,TOTL,Total Kenya,12.65,18,30,31,30,30,-,-,"27,100",,7/30/2008,-
,TOTL,Total Kenya,12.65,18,29.75,30.5,29.75,30,-0.25,0.84%,"5,700",,7/31/2008,-
,TOTL,Total Kenya,12.65,18,30,30.75,30,29.75,0.25,0.83%,"72,200",,8/1/2008,-
,TOTL,Total Kenya,12.65,18,30,30.5,30,30,-,-,"75,800",,8/4/2008,-
,TOTL,Total Kenya,12.65,18,30,30.25,30,30,-,-,"13,600",,8/5/2008,-
,TOTL,Total Kenya,12.65,18,30,30,30,30,-,-,"9,800",,8/6/2008,-
,TOTL,Total Kenya,12.65,18,29.75,30.5,30,30,-,-,"67,400",,8/7/2008,-
,TOTL,Total Kenya,12.65,18,30,30.25,30,30,-,-,"23,900",,8/8/2008,-
,TOTL,Total Kenya,12.65,18,30,30.25,30,30,-,-,"34,800",,8/11/2008,-
,TOTL,Total Kenya,12.65,18,28.5,30,29,30,-1,3.45%,"101,000",,8/12/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29,29,-,-,"31,700",,8/13/2008,-
,TOTL,Total Kenya,12.65,18,28.5,29.5,29,29,-,-,"7,300",,8/14/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30.75,29.75,29,0.75,2.52%,"10,600",,8/15/2008,-
,TOTL,Total Kenya,12.65,18,30,32,30.25,29.75,0.5,1.65%,"46,600",,8/18/2008,-
,TOTL,Total Kenya,12.65,18,29.75,30,29.75,30.25,-0.5,1.68%,"34,300",,8/19/2008,-
,TOTL,Total Kenya,12.65,18,29,30.5,29.75,29.75,-,-,"42,200",,8/20/2008,-
,TOTL,Total Kenya,12.65,18,29.5,31,29.75,29.75,-,-,"15,800",,8/21/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.75,29.75,-,-,"2,500",,8/22/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29.5,29.75,-0.25,0.85%,"32,100",,8/25/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29.5,29.5,-,-,"43,700",,8/26/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.5,29.5,-,-,"29,400",,8/27/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.5,29.5,-,-,"35,900",,8/28/2008,-
,TOTL,Total Kenya,12.65,18,29.5,29.5,29.5,29.5,-,-,"20,700",,8/29/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.5,29.5,-,-,"70,200",,9/1/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29.25,29.5,-0.25,0.85%,"47,800",,9/2/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.5,29.25,0.25,0.85%,"38,600",,9/3/2008,-
,TOTL,Total Kenya,12.65,18,29,29.75,29.5,29.5,-,-,"65,500",,9/4/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.5,29.5,-,-,"50,300",,9/5/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29,29.5,-0.5,1.72%,"18,800",,9/8/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29.25,29,0.25,0.85%,"29,800",,9/9/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29,29.25,-0.25,0.86%,"18,100",,9/10/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29,29,-,-,"42,100",,9/11/2008,-
,TOTL,Total Kenya,12.65,18,28,29,28.5,29,-0.5,1.75%,"14,800",,9/12/2008,-
,TOTL,Total Kenya,12.65,18,28,29,28.25,28.5,-0.25,0.88%,"21,000",,9/15/2008,-
,TOTL,Total Kenya,12.65,18,28,30,28,28.25,-0.25,0.89%,"19,600",,9/16/2008,-
,TOTL,Total Kenya,12.65,18,28,29,28,28,-,-,"35,200",,9/17/2008,-
,TOTL,Total Kenya,12.65,18,28.5,30,29,28,1,3.45%,"32,500",,9/18/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29.75,29,0.75,2.52%,"13,200",,9/19/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29.5,29.75,-0.25,0.85%,"28,800",,9/22/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29.75,29.5,0.25,0.84%,"7,900",,9/23/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29.5,29.75,-0.25,0.85%,"47,900",,9/24/2008,-
,TOTL,Total Kenya,12.65,18,30,30,30,29.5,0.5,1.67%,"5,600",,9/25/2008,-
,TOTL,Total Kenya,12.65,18,29.75,30,29.75,30,-0.25,0.84%,"2,200",,9/26/2008,-
,TOTL,Total Kenya,12.65,18,30,32,30.75,29.75,1,3.25%,"8,600",,9/29/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.75,30.75,-1,3.36%,"13,700",,9/30/2008,-
,TOTL,Total Kenya,12.65,18,29.75,30,29.75,29.75,-,-,"21,400",,10/2/2008,-
,TOTL,Total Kenya,12.65,18,30,31.5,30.75,29.75,1,3.25%,"3,700",,10/3/2008,-
,TOTL,Total Kenya,12.65,18,30,30,30,30.75,-0.75,2.50%,"3,000",,10/6/2008,-
,TOTL,Total Kenya,12.65,18,30,30.75,30.25,30,0.25,0.83%,"12,100",,10/7/2008,-
,TOTL,Total Kenya,12.65,18,30,30.5,30,30.25,-0.25,0.83%,"4,300",,10/8/2008,-
,TOTL,Total Kenya,12.65,18,30,30.5,30,30,-,-,"3,400",,10/9/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.75,30,-0.25,0.84%,"5,000",,10/13/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.75,29.75,-,-,"8,600",,10/14/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30.5,30,29.75,0.25,0.83%,"5,100",,10/15/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29.25,30,-0.75,2.56%,"7,900",,10/16/2008,-
,TOTL,Total Kenya,12.65,18,28,29,28,29.25,-1.25,4.46%,"3,500",,10/17/2008,-
,TOTL,Total Kenya,12.65,18,29,30,29.25,28,1.25,4.27%,"6,100",,10/21/2008,-
,TOTL,Total Kenya,12.65,18,28,29.5,28,29.25,-1.25,4.46%,"26,400",,10/22/2008,-
,TOTL,Total Kenya,12.65,18,27,29,27.75,28,-0.25,0.90%,"5,700",,10/23/2008,-
,TOTL,Total Kenya,12.65,18,26,28,27,27.75,-0.75,2.78%,"9,900",,10/24/2008,-
,TOTL,Total Kenya,12.65,18,25,27,25.75,27,-1.25,4.85%,"23,000",,10/27/2008,-
,TOTL,Total Kenya,12.65,18,24,26.5,24,25.75,-1.75,7.29%,"33,000",,10/28/2008,-
,TOTL,Total Kenya,12.65,18,24,24.75,24.25,24,0.25,1.03%,"1,900",,10/29/2008,-
,TOTL,Total Kenya,12.65,18,25,26.5,25.5,24.25,1.25,4.90%,"7,200",,10/30/2008,-
,TOTL,Total Kenya,12.65,18,27,28,27.25,25.5,1.75,6.42%,"8,000",,10/31/2008,-
,TOTL,Total Kenya,12.65,18,27.5,29.25,28,27.25,0.75,2.68%,"3,700",,11/3/2008,-
,TOTL,Total Kenya,12.65,18,29.25,30.75,30.25,28,2.25,7.44%,"42,600",,11/4/2008,-
,TOTL,Total Kenya,12.65,18,33.25,33.25,33.25,30.25,3,9.02%,"1,300",,11/5/2008,-
,TOTL,Total Kenya,12.65,18,30,34,30.75,33.25,-2.5,8.13%,"24,900",,11/7/2008,-
,TOTL,Total Kenya,12.65,18,30.75,33,32,30.75,1.25,3.91%,"21,000",,11/10/2008,-
,TOTL,Total Kenya,12.65,18,31.25,33.5,33.25,32,1.25,3.76%,"39,900",,11/11/2008,-
,TOTL,Total Kenya,12.65,18,32.5,33.25,32.75,33.25,-0.5,1.53%,"69,000",,11/13/2008,-
,TOTL,Total Kenya,12.65,18,33,34.5,33.5,32.75,0.75,2.24%,"24,300",,11/14/2008,-
,TOTL,Total Kenya,12.65,18,33.75,34,33.75,33.5,0.25,0.74%,"15,200",,11/17/2008,-
,TOTL,Total Kenya,12.65,18,34,35,34,33.75,0.25,0.74%,"31,900",,11/18/2008,-
,TOTL,Total Kenya,12.65,18,34,34.5,34,34,-,-,"37,000",,11/19/2008,-
,TOTL,Total Kenya,12.65,18,33,34,33.25,34,-0.75,2.26%,"23,800",,11/20/2008,-
,TOTL,Total Kenya,12.65,18,32.75,34,33,33.25,-0.25,0.76%,"181,700",,11/21/2008,-
,TOTL,Total Kenya,12.65,18,32.5,33.5,33,33,-,-,"5,100",,11/24/2008,-
,TOTL,Total Kenya,12.65,18,31.25,33,32.25,33,-0.75,2.33%,"11,700",,11/25/2008,-
,TOTL,Total Kenya,12.65,18,32.5,33,32.75,32.25,0.5,1.53%,"11,800",,11/26/2008,-
,TOTL,Total Kenya,12.65,18,33,33,33,32.75,0.25,0.76%,"6,400",,11/27/2008,-
,TOTL,Total Kenya,12.65,18,32.5,32.75,32.5,33,-0.5,1.54%,"1,100",,11/28/2008,-
,TOTL,Total Kenya,12.65,18,32,32,32,32.5,-0.5,1.56%,100,,12/1/2008,-
,TOTL,Total Kenya,12.65,18,30,32.5,31.5,32,-0.5,1.59%,"7,000",,12/2/2008,-
,TOTL,Total Kenya,12.65,18,30,31.5,31.25,31.5,-0.25,0.80%,"1,700",,12/3/2008,-
,TOTL,Total Kenya,12.65,18,29,31.5,30.25,31.25,-1,3.31%,"6,100",,12/4/2008,-
,TOTL,Total Kenya,12.65,18,29,31,29.5,30.25,-0.75,2.54%,"17,800",,12/5/2008,-
,TOTL,Total Kenya,12.65,18,28.75,31,29.75,29.5,0.25,0.84%,"9,500",,12/8/2008,-
,TOTL,Total Kenya,12.65,18,28,30,28.75,29.75,-1,3.48%,"30,000",,12/9/2008,-
,TOTL,Total Kenya,12.65,18,28,30,28.5,28.75,-0.25,0.88%,"54,000",,12/10/2008,-
,TOTL,Total Kenya,12.65,18,30,31,30.75,28.5,2.25,7.32%,400,,12/11/2008,-
,TOTL,Total Kenya,12.65,18,29.5,30,29.75,30.75,-1,3.36%,"1,200",,12/15/2008,-
,TOTL,Total Kenya,12.65,18,29.5,32,30.75,29.75,1,3.25%,"17,200",,12/16/2008,-
,TOTL,Total Kenya,12.65,18,31,31.5,31,30.75,0.25,0.81%,"42,200",,12/17/2008,-
,TOTL,Total Kenya,12.65,18,31.5,32.25,32,31,1,3.13%,"2,500",,12/18/2008,-
,TOTL,Total Kenya,12.65,18,31,32.25,31.75,32,-0.25,0.79%,"14,100",,12/19/2008,-
,TOTL,Total Kenya,12.65,18,32,32,32,31.75,0.25,0.78%,"12,000",,12/22/2008,-
,TOTL,Total Kenya,12.65,18,31.5,32,31.5,32,-0.5,1.59%,"1,400",,12/23/2008,-
,TOTL,Total Kenya,12.65,18,32,32,32,31.5,0.5,1.56%,"10,000",,12/24/2008,-
,TOTL,Total Kenya,12.65,18,31.75,32,31.75,32,-0.25,0.79%,"33,700",,12/29/2008,-
,TOTL,Total Kenya,12.65,18,32,32,32,31.75,0.25,0.78%,500,,12/30/2008,-
,TOTL,Total Kenya,12.65,18,32,32,32,32,-,-,"11,900",,12/31/2008,-
1/3/2011,TOTL,Total Kenya,12.65,18,28.5,29,28.75,29,-0.25,0.87%,"4,200",-,,
1/4/2011,TOTL,Total Kenya,12.65,18,28.75,29.5,28.75,28.75,-,-,"10,300",-,,
1/5/2011,TOTL,Total Kenya,12.65,18,29.25,29.5,29.25,28.75,0.5,1.71%,"13,500",-,,
1/6/2011,TOTL,Total Kenya,12.65,18,29.25,30,29.25,29.25,-,-,"50,400",-,,
1/7/2011,TOTL,Total Kenya,12.65,18,29,30,29.75,29.25,0.5,1.68%,"10,700",-,,
1/10/2011,TOTL,Total Kenya,12.65,18,29.5,30,29.5,29.75,-0.25,0.85%,"3,500",-,,
1/11/2011,TOTL,Total Kenya,12.65,18,29.5,30,29.5,29.5,-,-,"16,800",-,,
1/12/2011,TOTL,Total Kenya,12.65,18,29.25,29.5,29.25,29.5,-0.25,0.85%,"1,400",-,,
1/13/2011,TOTL,Total Kenya,12.65,18,29.25,30,29.25,29.25,-,-,"17,100",-,,
1/14/2011,TOTL,Total Kenya,12.65,18,29.25,30,29.25,29.25,-,-,"21,700",-,,
1/17/2011,TOTL,Total Kenya,12.65,18,29.25,30,29.25,29.25,-,-,"11,600",-,,
1/18/2011,TOTL,Total Kenya,12.65,18,29,29.5,29.25,29.25,-,-,"41,000",-,,
1/19/2011,TOTL,Total Kenya,12.65,18,29.5,30,29.5,29.25,0.25,0.85%,"37,500",-,,
1/20/2011,TOTL,Total Kenya,12.65,18,29,30,29.25,29.5,-0.25,0.85%,"93,700",-,,
1/21/2011,TOTL,Total Kenya,12.65,18,28.75,29.5,29,29.25,-0.25,0.86%,"6,400",-,,
1/24/2011,TOTL,Total Kenya,12.65,18,28.75,29.25,28.75,29,-0.25,0.87%,"18,200",-,,
1/25/2011,TOTL,Total Kenya,12.65,18,28.75,29.5,29,28.75,0.25,0.86%,"43,300",-,,
1/26/2011,TOTL,Total Kenya,12.65,18,28.75,28.75,28.75,29,-0.25,0.87%,"2,400",-,,
1/27/2011,TOTL,Total Kenya,12.65,18,28.75,29,28.75,28.75,-,-,"12,700",-,,
1/28/2011,TOTL,Total Kenya,12.65,18,28.75,29,28.75,28.75,-,-,"21,300",-,,
1/31/2011,TOTL,Total Kenya,12.65,18,28.75,29,28.75,28.75,-,-,"1,800",-,,
2/1/2011,TOTL,Total Kenya,12.65,18,28,29,28.5,28.75,-0.25,0.88%,"16,600",-,,
2/2/2011,TOTL,Total Kenya,12.65,18,28.5,28.75,28.5,28.5,-,-,"49,400",-,,
2/3/2011,TOTL,Total Kenya,12.65,18,28.5,29,28.5,28.5,-,-,"1,900",-,,
2/4/2011,TOTL,Total Kenya,12.65,18,28.5,28.75,28.5,28.5,-,-,"19,200",-,,
2/7/2011,TOTL,Total Kenya,12.65,18,28.5,29,28.5,28.5,-,-,"10,900",-,,
2/8/2011,TOTL,Total Kenya,12.65,18,28,28.75,28.5,28.5,-,-,"11,700",-,,
2/9/2011,TOTL,Total Kenya,12.65,18,28,28.5,28,28.5,-0.5,1.79%,"12,500",-,,
2/10/2011,TOTL,Total Kenya,12.65,18,28,28.5,28,28,-,-,"6,100",-,,
2/11/2011,TOTL,Total Kenya,12.65,18,27,29,28.25,28,0.25,0.88%,"13,000",-,,
2/14/2011,TOTL,Total Kenya,12.65,18,27.5,28.75,27.75,28.25,-0.5,1.80%,"4,400",-,,
2/15/2011,TOTL,Total Kenya,12.65,18,28.25,28.25,28.25,27.75,0.5,1.77%,"1,800",-,,
2/16/2011,TOTL,Total Kenya,12.65,18,28,28.5,28.25,28.25,-,-,"22,500",-,,
2/17/2011,TOTL,Total Kenya,12.65,18,28,28,28,28.25,-0.25,0.89%,"3,400",-,,
2/18/2011,TOTL,Total Kenya,12.65,18,28,28.5,28,28,-,-,"25,100",-,,
2/21/2011,TOTL,Total Kenya,12.65,18,28,28.5,28.25,28,0.25,0.88%,"7,800",-,,
2/22/2011,TOTL,Total Kenya,12.65,18,27.75,28.5,27.75,28.25,-0.5,1.80%,"10,800",-,,
2/23/2011,TOTL,Total Kenya,12.65,18,27.75,28,27.75,27.75,-,-,"5,200",-,,
2/24/2011,TOTL,Total Kenya,12.65,18,28,28.5,28,27.75,0.25,0.89%,"15,100",-,,
2/25/2011,TOTL,Total Kenya,12.65,18,27.75,28,27.75,28,-0.25,0.90%,"8,600",-,,
2/28/2011,TOTL,Total Kenya,12.65,18,28,28.25,28,27.75,0.25,0.89%,"6,100",-,,
3/1/2011,TOTL,Total Kenya,12.65,18,28.25,28.75,28.25,28,0.25,0.88%,"16,100",-,,
3/2/2011,TOTL,Total Kenya,12.65,18,28,28.25,28,28.25,-0.25,0.89%,"27,000",-,,
3/3/2011,TOTL,Total Kenya,12.65,18,28,28.5,28,28,-,-,"20,800",-,,
3/4/2011,TOTL,Total Kenya,12.65,18,28.25,28.5,28.25,28,0.25,0.88%,"3,300",-,,
3/7/2011,TOTL,Total Kenya,12.65,18,28.25,28.5,28.25,28.25,-,-,"17,500",-,,
3/8/2011,TOTL,Total Kenya,12.65,18,28.25,28.5,28.25,28.25,-,-,"7,900",-,,
3/9/2011,TOTL,Total Kenya,12.65,18,28.25,28.25,28.25,28.25,-,-,"6,000",-,,
3/10/2011,TOTL,Total Kenya,12.65,18,28,28,28,28.25,-0.25,0.89%,"24,000",-,,
3/11/2011,TOTL,Total Kenya,12.65,18,27,28.5,28.25,28,0.25,0.88%,"85,100",-,,
3/14/2011,TOTL,Total Kenya,12.65,18,28,28,28,28.25,-0.25,0.89%,"12,700",-,,
3/15/2011,TOTL,Total Kenya,12.65,18,27.5,28,27.75,28,-0.25,0.90%,"22,800",-,,
3/16/2011,TOTL,Total Kenya,12.65,18,27,27.25,27,27.75,-0.75,2.78%,"2,400",-,,
3/17/2011,TOTL,Total Kenya,12.65,18,27,28,27,27,-,-,"102,000",-,,
3/18/2011,TOTL,Total Kenya,12.65,18,26.5,27,26.75,27,-0.25,0.93%,"23,300",-,,
3/21/2011,TOTL,Total Kenya,12.65,18,27,28,27,26.75,0.25,0.93%,"1,700",-,,
3/22/2011,TOTL,Total Kenya,12.65,18,28,28,28,27,1,3.57%,500,-,,
3/23/2011,TOTL,Total Kenya,12.65,18,27.5,28,27.75,28,-0.25,0.90%,200,-,,
3/24/2011,TOTL,Total Kenya,12.65,18,27,28.25,27,27.75,-0.75,2.78%,"6,200",-,,
3/25/2011,TOTL,Total Kenya,12.65,18,27,27,27,27,-,-,"4,100",-,,
3/28/2011,TOTL,Total Kenya,12.65,18,27,27,27,27,-,-,"2,700",-,,
3/29/2011,TOTL,Total Kenya,12.65,18,27,27,27,27,-,-,"3,500",-,,
3/30/2011,TOTL,Total Kenya,12.65,18,26,27,26,27,-1,3.85%,"131,100",-,,
3/31/2011,TOTL,Total Kenya,12.65,18,25.25,26,25.5,26,-0.5,1.96%,"10,400",-,,
4/1/2011,TOTL,Total Kenya,12.65,18,25,26,25.25,25.5,-0.25,0.99%,"27,700",-,,
4/4/2011,TOTL,Total Kenya,12.65,18,25.25,25.25,25.25,25.25,-,-,0,-,,
4/5/2011,TOTL,Total Kenya,12.65,18,26,27,26.5,25.25,1.25,4.72%,"9,600",-,,
4/6/2011,TOTL,Total Kenya,12.65,18,26,26.5,26.25,26.5,-0.25,0.95%,"34,800",-,,
4/7/2011,TOTL,Total Kenya,12.65,18,25.5,27,26.5,26.25,0.25,0.94%,"13,000",-,,
4/8/2011,TOTL,Total Kenya,12.65,18,25,26.5,25.75,26.5,-0.75,2.91%,"7,900",-,,
4/11/2011,TOTL,Total Kenya,12.65,18,26.5,27,26.5,25.75,0.75,2.83%,"2,800",-,,
4/12/2011,TOTL,Total Kenya,12.65,18,26,27,26.25,26.5,-0.25,0.95%,"8,500",-,,
4/13/2011,TOTL,Total Kenya,12.65,18,26,26,26,26.25,-0.25,0.96%,"17,000",-,,
4/14/2011,TOTL,Total Kenya,12.65,18,26,26.25,26,26,-,-,"2,900",-,,
4/15/2011,TOTL,Total Kenya,12.65,18,26.5,27,26.5,26,0.5,1.89%,"7,600",-,,
4/18/2011,TOTL,Total Kenya,12.65,18,26,26.75,26,26.5,-0.5,1.92%,"5,900",-,,
4/19/2011,TOTL,Total Kenya,12.65,18,26,26.75,26,26,-,-,"6,600",-,,
4/20/2011,TOTL,Total Kenya,12.65,18,26,26.75,26.25,26,0.25,0.95%,"1,800",-,,
4/21/2011,TOTL,Total Kenya,12.65,18,26,26.5,26,26.25,-0.25,0.96%,"7,400",-,,
4/26/2011,TOTL,Total Kenya,12.65,18,26,27,26.5,26,0.5,1.89%,"10,100",-,,
4/27/2011,TOTL,Total Kenya,12.65,18,26,26.5,26.25,26.5,-0.25,0.95%,"3,200",-,,
4/28/2011,TOTL,Total Kenya,12.65,18,26.5,27,26.5,26.25,0.25,0.94%,"3,600",-,,
4/29/2011,TOTL,Total Kenya,12.65,18,26,27.25,27,26.5,0.5,1.85%,"30,000",-,,
5/3/2011,TOTL,Total Kenya,12.65,18,26.5,27,26.5,27,-0.5,1.89%,"2,500",-,,
5/4/2011,TOTL,Total Kenya,12.65,18,27,27.25,27,26.5,0.5,1.85%,"2,700",-,,
5/5/2011,TOTL,Total Kenya,12.65,18,26,27,26,27,-1,3.85%,"20,200",-,,
5/6/2011,TOTL,Total Kenya,12.65,18,26,26,26,26,-,-,"7,700",-,,
5/9/2011,TOTL,Total Kenya,12.65,18,26,26,26,26,-,-,100,-,,
5/10/2011,TOTL,Total Kenya,12.65,18,26,26.5,26,26,-,-,"6,400",-,,
5/11/2011,TOTL,Total Kenya,12.65,18,26,26,26,26,-,-,"4,700",-,,
5/12/2011,TOTL,Total Kenya,12.65,18,25,26,25.5,26,-0.5,1.96%,"16,000",-,,
5/13/2011,TOTL,Total Kenya,12.65,18,25.5,25.5,25.5,25.5,-,-,500,-,,
5/16/2011,TOTL,Total Kenya,12.65,18,25,26,25.5,25.5,-,-,"6,000",-,,
5/17/2011,TOTL,Total Kenya,12.65,18,25.5,26,25.5,25.5,-,-,"16,700",-,,
5/18/2011,TOTL,Total Kenya,12.65,18,25.5,26,25.5,25.5,-,-,"109,600",-,,
5/19/2011,TOTL,Total Kenya,12.65,18,25.5,26,25.5,25.5,-,-,"11,200",-,,
5/20/2011,TOTL,Total Kenya,12.65,18,25.75,26,25.75,25.5,0.25,0.97%,"2,100",-,,
5/23/2011,TOTL,Total Kenya,12.65,18,25.75,26,25.75,25.75,-,-,"14,200",-,,
5/24/2011,TOTL,Total Kenya,12.65,18,25.5,26,25.5,25.75,-0.25,0.98%,"8,300",-,,
5/25/2011,TOTL,Total Kenya,12.65,18,25.75,26,25.75,25.5,0.25,0.97%,"3,400",-,,
5/26/2011,TOTL,Total Kenya,12.65,18,25.75,26,25.75,25.75,-,-,"9,800",-,,
5/27/2011,TOTL,Total Kenya,12.65,18,25.75,26,25.75,25.75,-,-,"22,300",-,,
5/30/2011,TOTL,Total Kenya,12.65,18,25.75,26,25.75,25.75,-,-,"30,500",-,,
5/31/2011,TOTL,Total Kenya,12.65,18,25.5,26,25.5,25.75,-0.25,0.98%,"21,600",-,,
6/2/2011,TOTL,Total Kenya,12.65,18,25.5,26,25.75,25.5,0.25,0.97%,"22,900",-,,
6/3/2011,TOTL,Total Kenya,12.65,18,25.5,26,25.5,25.75,-0.25,0.98%,"7,600",-,,
6/6/2011,TOTL,Total Kenya,12.65,18,25.5,26,25.5,25.5,-,-,"24,900",-,,
6/7/2011,TOTL,Total Kenya,12.65,18,25.75,26,25.75,25.5,0.25,0.97%,"29,700",-,,
6/8/2011,TOTL,Total Kenya,12.65,18,26,26.25,26,25.75,0.25,0.96%,"3,500",-,,
6/9/2011,TOTL,Total Kenya,12.65,18,26.25,26.5,26.25,26,0.25,0.95%,"7,800",-,,
6/10/2011,TOTL,Total Kenya,12.65,18,25.75,26,25.75,26.25,-0.5,1.94%,"14,900",-,,
6/13/2011,TOTL,Total Kenya,12.65,18,25,25.75,25.25,25.75,-0.5,1.98%,"20,000",-,,
6/14/2011,TOTL,Total Kenya,12.65,18,25,25.25,25,25.25,-0.25,1.00%,"13,700",-,,
6/15/2011,TOTL,Total Kenya,12.65,18,25,25.25,25,25,-,-,"11,300",-,,
6/16/2011,TOTL,Total Kenya,12.65,18,25,25.5,25,25,-,-,"4,200",-,,
6/17/2011,TOTL,Total Kenya,12.65,18,24.5,25.25,24.75,25,-0.25,1.01%,"19,100",-,,
6/20/2011,TOTL,Total Kenya,12.65,18,25,25.25,25,24.75,0.25,1.00%,"3,300",-,,
6/21/2011,TOTL,Total Kenya,12.65,18,24.75,25.25,24.75,25,-0.25,1.01%,"28,300",-,,
6/22/2011,TOTL,Total Kenya,12.65,18,23.5,25.25,24.75,24.75,-,-,"11,700",-,,
6/23/2011,TOTL,Total Kenya,12.65,18,24.75,24.75,24.75,24.75,-,-,0,-,,
6/24/2011,TOTL,Total Kenya,12.65,18,25,25,25,24.75,0.25,1.00%,"5,700",-,,
6/27/2011,TOTL,Total Kenya,12.65,18,25,25,25,25,-,-,200,-,,
6/28/2011,TOTL,Total Kenya,12.65,18,23.5,24.75,24.5,25,-0.5,2.04%,"2,900",-,,
6/29/2011,TOTL,Total Kenya,12.65,18,23,24.5,23.5,24.5,-1,4.26%,"31,300",-,,
6/30/2011,TOTL,Total Kenya,12.65,18,22.25,24.75,23.5,23.5,-,-,"16,800",-,,
7/1/2011,TOTL,Total Kenya,12.65,18,23,24.75,23,23.5,-0.5,2.17%,"89,600",-,,
7/4/2011,TOTL,Total Kenya,12.65,18,23,25,24.5,23,1.5,6.12%,"64,400",-,,
7/5/2011,TOTL,Total Kenya,12.65,18,24,24.5,24.25,24.5,-0.25,1.03%,"6,100",-,,
7/6/2011,TOTL,Total Kenya,12.65,18,23,24,23.75,24.25,-0.5,2.11%,"5,700",-,,
7/7/2011,TOTL,Total Kenya,12.65,18,23,24,23,23.75,-0.75,3.26%,"65,100",-,,
7/11/2011,TOTL,Total Kenya,12.65,18,22.75,23,22.75,23,-0.25,1.10%,"9,100",-,,
7/12/2011,TOTL,Total Kenya,12.65,18,22.75,23,22.75,22.75,-,-,"17,700",-,,
